Energy commodities;Sectors;Periods;From supply/Total Primary Energy Supply (PJ);From supply/Indigenous production (PJ);From supply/Receipts of energy (PJ);From supply/Deliveries of energy (-) (PJ);From supply/Stock change (PJ);From supply/Statistical differences (PJ);From consumption/Total energy consumption (PJ);From consumption/Energy transformation/Total net energy transformation (PJ);From consumption/Own use (PJ);From consumption/Distribution losses (PJ);From consumption/Final energy consumption (PJ);From consumption/Non-energy use (PJ)
Total energy commodities;Total final users of energy;2003;2680,6;106,4;7910,1;5341;5,1;;2680,6;66,3;2,7;;2051,2;560,4
Total energy commodities;Total final users of energy;2004;2704,3;109,7;8476,8;5843,7;-38,5;;2704,3;69,9;2,7;;2072,9;558,8
Total energy commodities;Total final users of energy;2005;2690,3;115,7;8256,9;5667,1;-15,2;;2690,3;72,8;3;;2049;565,6
Total energy commodities;Total final users of energy;2006;2669,5;119,5;8993;6404,3;-38,8;;2669,5;70,6;3,1;;2037,1;558,6
Total energy commodities;Total final users of energy;2007;2634;132;8707,1;6213,3;8,2;;2634;73,7;3,2;;1998,1;559
Total energy commodities;Total final users of energy;2008;2635,4;140,2;8965,5;6409,2;-61,2;;2635,4;84,4;3,8;;2035,2;511,9
Total energy commodities;Total final users of energy;2009;2593,6;150,1;8756,3;6325,5;12,7;;2593,6;81,8;3,9;;1969,3;538,5
Total energy commodities;Total final users of energy;2010;2811,9;157,4;9724;7099,4;29,9;;2811,9;86,4;4,1;;2118,4;603,1
Total energy commodities;Total final users of energy;2011;2600,2;163,4;9487;7111,2;60,9;;2600,2;86,9;4,2;;1953,6;555,4
Total energy commodities;Total final users of energy;2012;2625,8;195,3;9911,4;7421,1;-59,8;;2625,8;84,8;4,6;;1963,9;572,5
Total energy commodities;Total final users of energy;2013;2576,1;215,6;9630,3;7268,7;-1,2;;2576,1;92;4,4;;1957,1;522,5
Total energy commodities;Total final users of energy;2014;2382,5;229;9487,3;7302,3;-31,5;;2382,5;89,7;4,3;;1764,6;523,8
Total energy commodities;Total final users of energy;2015;2410,3;217,5;10327,2;8022,2;-112,1;;2410,3;95,1;4,1;;1801,4;509,7
Total energy commodities;Total final users of energy;2016;2470,3;212,4;10744,9;8504,4;17,5;;2470,3;87,8;4,4;;1845,3;532,8
Total energy commodities;Total final users of energy;2017;2515,2;235,8;10875,8;8664,6;68,2;;2515,2;88,7;4,7;;1851,4;570,4
Total energy commodities;Total final users of energy;2018;2498;249,4;10810,8;8563,1;0,9;;2498;96,3;4,6;;1865;532
Total energy commodities;Total final users of energy;2019;2432,4;263,1;11154,7;8919,1;-66,2;;2432,4;99;4,7;;1830,8;497,9
Total energy commodities;Total final users of energy;2020;2377,7;288,6;10326,3;8166,5;-70,7;;2377,7;103,1;4,7;;1731,9;537,9
Total energy commodities;Total final users of energy;2021**;2452,1;305,2;10713,6;8754,5;187,8;;2452,1;115,7;4,9;;1795,3;536,2
Total energy commodities;Total final users of energy;2022**;2180,4;333,9;10786,2;8844,1;-95,7;;2180,4;117,3;4,9;;1626,5;431,6
Total coal and coal products;Total energy sector and final users;1990;366,9;;496,2;131,4;2;;366,9;303,2;21,1;;31,5;11,1
Total coal and coal products;Total energy sector and final users;1991;335,6;;461,4;125,7;-0,1;;335,6;277,3;23,3;;25,3;9,8
Total coal and coal products;Total energy sector and final users;1992;335,3;;461;125,5;-0,2;;335,3;284,6;23,9;;16,8;9,9
Total coal and coal products;Total energy sector and final users;1993;336,6;;475,9;142,1;2,8;;336,6;284,9;24,5;;17,5;9,7
Total coal and coal products;Total energy sector and final users;1994;367,2;;508,6;139,1;-2,3;;367,2;319,4;23,7;;14,5;9,5
Total coal and coal products;Total energy sector and final users;1995;373,6;;519,7;143,3;-2,9;;373,6;320,3;24,3;;18,8;10,2
Total coal and coal products;Total energy sector and final users;1996;361,1;;496,2;137,9;2,8;;361,1;309,1;23,8;;17,3;10,9
Total coal and coal products;Total energy sector and final users;1997;351,7;;504,9;143,3;-9,9;;351,7;299,7;22,2;;19,6;10,2
Total coal and coal products;Total energy sector and final users;1998;357,9;;505;143,2;-3,9;;357,9;310,8;21,7;;16,8;8,7
Total coal and coal products;Total energy sector and final users;1999;312,3;;432,4;128,5;8,4;;312,3;272,7;18,1;;15,6;5,9
Total coal and coal products;Total energy sector and final users;2000;325,2;;443,1;119,8;1,9;;325,2;288,6;17,6;;14,2;4,9
Total coal and coal products;Total energy sector and final users;2001;346,2;;475,9;128,5;-1,2;;346,2;309,1;18,7;;13,9;4,4
Total coal and coal products;Total energy sector and final users;2002;348;;469,3;122,4;1,1;;348;310,4;18,2;;15;4,4
Total coal and coal products;Total energy sector and final users;2003;359,3;;478,2;122,9;4;;359,3;321,5;18,6;;14,6;4,7
Total coal and coal products;Total energy sector and final users;2004;354,6;;478,9;120,6;-3,6;;354,6;315,5;19,6;;14,8;4,6
Total coal and coal products;Total energy sector and final users;2005;338,6;;463,2;120,2;-4,3;;338,6;299,9;19,1;;14,9;4,7
Total coal and coal products;Total energy sector and final users;2006;323,9;;437,7;118,1;4,3;;323,9;284,7;18,7;;15,9;4,6
Total coal and coal products;Total energy sector and final users;2007;351,8;;480,2;126,1;-2,3;;351,8;310;19,4;;17,4;5,1
Total coal and coal products;Total energy sector and final users;2008;333,5;;451,2;120,5;2,7;;333,5;291,4;20;;16,7;5,3
Total coal and coal products;Total energy sector and final users;2009;312,4;;395,2;89,4;6,6;;312,4;278,3;16,1;;13,9;4,2
Total coal and coal products;Total energy sector and final users;2010;315,5;;430;110,1;-4,4;;315,5;276,5;18,4;;16,5;4
Total coal and coal products;Total energy sector and final users;2011;311,4;;422,5;108,3;-2,8;;311,4;272,6;18,4;;16,1;4,3
Total coal and coal products;Total energy sector and final users;2012;341,1;;442,7;105,2;3,6;;341,1;304,6;17,7;;14,9;4
Total coal and coal products;Total energy sector and final users;2013;342,8;;445,1;110,4;8,1;;342,8;307,5;17,5;;14,2;3,6
Total coal and coal products;Total energy sector and final users;2014;378,8;;504,8;116,3;-9,8;;378,8;345,4;17,4;;14,2;1,7
Total coal and coal products;Total energy sector and final users;2015;464,2;;550,4;102,1;16;-0,1;464,3;427,8;17,6;;15,4;3,6
Total coal and coal products;Total energy sector and final users;2016;430,2;;526,6;98,2;1,9;-0,1;430,2;392;17,7;;17,3;3,2
Total coal and coal products;Total energy sector and final users;2017;385,8;;487,8;98,8;-3,2;;385,8;346,4;17,3;;19;3,1
Total coal and coal products;Total energy sector and final users;2018;346,6;;444,3;98,3;0,7;;346,6;306,8;19,2;;17,3;3,3
Total coal and coal products;Total energy sector and final users;2019;268,9;;370,6;95,8;-5,8;-0,1;269;232,4;18,8;;14,8;3
Total coal and coal products;Total energy sector and final users;2020;172,1;;252;93,8;13,9;;172,1;139,7;16,2;;13,4;2,8
Total coal and coal products;Total energy sector and final users;2021**;234,1;;399,2;166,1;1;;234,1;200,5;18,4;;13,3;2
Total coal and coal products;Total energy sector and final users;2022**;231,3;;405;169,1;-4,6;;231,3;199,7;15,4;;15;1,3
Total coal and coal products;Total energy sector;1990;317,8;;436,2;118,2;-0,2;;317,8;296,8;21,1;;;
Total coal and coal products;Total energy sector;1991;293,7;;419,6;125,7;-0,1;;293,7;270,5;23,3;;;
Total coal and coal products;Total energy sector;1992;294,8;;420,6;125,5;-0,2;;294,8;270,9;23,9;;;
Total coal and coal products;Total energy sector;1993;295,8;;423,5;128,6;0,9;;295,8;271,4;24,5;;;
Total coal and coal products;Total energy sector;1994;338,2;;472,2;133,4;-0,6;;338,2;314,6;23,7;;;
Total coal and coal products;Total energy sector;1995;341,1;;477,6;132,9;-3,6;;341,1;316,8;24,3;;;
Total coal and coal products;Total energy sector;1996;329,2;;452,3;127,9;4,8;;329,2;305,5;23,8;;;
Total coal and coal products;Total energy sector;1997;318;;452,8;124,8;-10;;318;295,8;22,2;;;
Total coal and coal products;Total energy sector;1998;327,4;;454,9;125,3;-2,2;;327,4;305,8;21,7;;;
Total coal and coal products;Total energy sector;1999;284,7;;388;110;6,7;;284,7;266,6;18,1;;;
Total coal and coal products;Total energy sector;2000;299,8;;391,7;97,3;5,4;;299,8;282,2;17,6;;;
Total coal and coal products;Total energy sector;2001;321;;427,7;101,2;-5,5;;321;302,3;18,7;;;
Total coal and coal products;Total energy sector;2002;322,1;;420,9;97,9;-0,9;;322,1;303,8;18,2;;;
Total coal and coal products;Total energy sector;2003;333,5;;431,8;101,6;3,4;;333,5;314,9;18,6;;;
Total coal and coal products;Total energy sector;2004;328,2;;434,3;105,9;-0,2;;328,2;308,5;19,6;;;
Total coal and coal products;Total energy sector;2005;312,9;;421,3;106,1;-2,3;;312,9;293,8;19,1;;;
Total coal and coal products;Total energy sector;2006;297,4;;393,4;99,8;3,8;;297,4;278,7;18,7;;;
Total coal and coal products;Total energy sector;2007;323,2;;435,5;107,4;-4,9;;323,2;303,9;19,4;;;
Total coal and coal products;Total energy sector;2008;305,1;;402,6;103,2;5,8;;305,1;285,1;20;;;
Total coal and coal products;Total energy sector;2009;288,6;;369,6;80,7;-0,3;;288,6;272,6;16,1;;;
Total coal and coal products;Total energy sector;2010;288,8;;393,6;99,7;-5,2;;288,8;270,4;18,4;;;
Total coal and coal products;Total energy sector;2011;285,1;;385,2;99,9;-0,2;;285,1;266,7;18,4;;;
Total coal and coal products;Total energy sector;2012;316,8;;410;96,1;2,8;;316,8;299,1;17,7;;;
Total coal and coal products;Total energy sector;2013;320,8;;419,2;97,6;-0,8;;320,8;303,4;17,5;;;
Total coal and coal products;Total energy sector;2014;359,6;;463,9;99,8;-4,5;;359,6;342,2;17,4;;;
Total coal and coal products;Total energy sector;2015;442,7;;528,4;102,1;16,4;;442,7;425,1;17,6;;;
Total coal and coal products;Total energy sector;2016;407,2;;502,1;98,2;3,3;;407,2;389,5;17,7;;;
Total coal and coal products;Total energy sector;2017;361,2;;465;98,3;-5,5;;361,2;343,8;17,3;;;
Total coal and coal products;Total energy sector;2018;323,3;;419,6;98;1,7;;323,3;304,1;19,2;;;
Total coal and coal products;Total energy sector;2019;248,5;;348,4;95;-4,8;;248,5;229,7;18,8;;;
Total coal and coal products;Total energy sector;2020;152,8;;232;91,5;12,3;;152,8;136,6;16,2;;;
Total coal and coal products;Total energy sector;2021**;216,4;;308,2;96,3;4,5;;216,4;198;18,4;;;
Total coal and coal products;Total energy sector;2022**;212,9;;312;94;-5,1;;212,9;197,5;15,4;;;
Total coal and coal products;Total final users of energy;1990;49;;60;13,2;2,2;;49;6,5;;;31,5;11,1
Total coal and coal products;Total final users of energy;1991;41,9;;41,9;;;;41,9;6,8;;;25,3;9,8
Total coal and coal products;Total final users of energy;1992;40,4;;40,4;;;;40,4;13,7;;;16,8;9,9
Total coal and coal products;Total final users of energy;1993;40,8;;52,4;13,5;1,9;;40,8;13,6;;;17,5;9,7
